density,2700.0,,,
elastic,66700000000.0,0.3,20.0,
elastic,60800000000.0,0.3,100.0,
elastic,56800000000.0,0.3,150.0,
elastic,54400000000.0,0.3,200.0,
elastic,51000000000.0, 0.3, 250.0,
elastic,43100000000.0, 0.3, 300.0,
elastic,30000000000.0, 0.3, 500.0,
elastic,1000000000.0, 0.3, 2000.0,   
plastic,250000000.0, 0.0, 25.0,
plastic,240000000.0, 0.0, 50.0,
plastic,225000000.0, 0.0, 100.0,
plastic,190000000.0, 0.0, 200.0,
plastic,157000000.0, 0.0, 250.0,
plastic,133000000.0, 0.0, 300.0,
plastic,54300000.0, 0.0, 350.0,
plastic,20800000.0, 0.0, 400.0,
plastic,9930000.0, 0.0, 450.0,
plastic,8600000.0, 0.0, 500.0,
plastic,5060000.0, 0.0, 550.0,
plastic,3300000.0, 0.0, 600.0,
plastic,1000.0, 0.0, 2000.0,
expansion,2.23e-05, 20.0,,
expansion,2.28e-05, 100.0,,
expansion,2.47e-05, 200.0,,
expansion,2.55e-05, 300.0,,
expansion,2.65e-05, 400.0,,
expansion,2.7e-05, 500.0,,
expansion,2.7e-05, 1000.0,,
specificheat,900.0, 20.0,,
specificheat,921.0, 100.0,,
specificheat,1005.0, 200.0,,
specificheat,1047.0, 300.0,,
specificheat,1089.0, 400.0,,
specificheat,1129.0, 2000.0,,
conductivity,119.0, 20.0,,
conductivity,121.0, 100.0,,
conductivity,126.0,200.0,,
conductivity,130.0, 300.0,,
conductivity,138.0, 400.0,,
conductivity,145.0, 2000.0,,
